cnt,temp,hum,windspeed,workingday,season,rentals
985,0.344167,0.805833,0.160446,0,1,985
801,0.363478,0.696087,0.248539,0,1,801
1349,0.196364,0.437273,0.248309,1,1,1349
1562,0.2,0.590435,0.160296,1,1,1562
1600,0.226957,0.436957,0.1869,1,1,1600
1606,0.204348,0.518261,0.0895652,1,1,1606
1510,0.196522,0.498696,0.168726,1,1,1510
959,0.165,0.535833,0.266804,0,1,959
822,0.138333,0.434167,0.36195,0,1,822
1321,0.150833,0.482917,0.223267,1,1,1321
1263,0.169091,0.686364,0.122132,1,1,1263
1162,0.172727,0.599545,0.304627,1,1,1162
1406,0.165,0.470417,0.301,1,1,1406
1421,0.16087,0.537826,0.126548,1,1,1421
1248,0.233333,0.49875,0.157963,0,1,1248
1204,0.231667,0.48375,0.188433,0,1,1204
1000,0.175833,0.5375,0.194017,0,1,1000
683,0.216667,0.861667,0.146775,1,1,683
1650,0.292174,0.741739,0.208317,1,1,1650
1927,0.261667,0.538333,0.195904,1,1,1927
1543,0.1775,0.457083,0.353242,1,1,1543
981,0.0591304,0.4,0.17197,0,1,981
986,0.0965217,0.436522,0.2466,0,1,986
1416,0.0973913,0.491739,0.15833,1,1,1416
1985,0.223478,0.616957,0.129796,1,1,1985
506,0.2175,0.8625,0.29385,1,1,506
431,0.195,0.6875,0.113837,1,1,431
1167,0.203478,0.793043,0.1233,1,1,1167
1098,0.196522,0.651739,0.145365,0,1,1098
1096,0.216522,0.722174,0.0739826,0,1,1096
1501,0.180833,0.60375,0.187192,1,1,1501
1360,0.192174,0.829565,0.053213,1,1,1360
1526,0.26,0.775417,0.264308,1,1,1526
1550,0.186957,0.437826,0.277752,1,1,1550
1708,0.211304,0.585217,0.127839,1,1,1708
1005,0.233333,0.929167,0.161079,0,1,1005
1623,0.285833,0.568333,0.1418,0,1,1623
1712,0.271667,0.738333,0.0454083,1,1,1712
1530,0.220833,0.537917,0.36195,1,1,1530
1605,0.134783,0.494783,0.188839,1,1,1605
1538,0.144348,0.437391,0.221935,1,1,1538
1746,0.189091,0.506364,0.10855,1,1,1746
1472,0.2225,0.544167,0.203367,0,1,1472
1589,0.316522,0.457391,0.260883,0,1,1589
1913,0.415,0.375833,0.417908,1,1,1913
1815,0.266087,0.314348,0.291374,1,1,1815
2115,0.318261,0.423478,0.251791,1,1,2115
2475,0.435833,0.505,0.230104,1,1,2475
2927,0.521667,0.516667,0.264925,1,1,2927
1635,0.399167,0.187917,0.507463,0,1,1635
1812,0.285217,0.407826,0.223235,0,1,1812
1107,0.303333,0.605,0.307846,0,1,1107
1450,0.182222,0.577778,0.195683,1,1,1450
1917,0.221739,0.423043,0.094113,1,1,1917
1807,0.295652,0.697391,0.250496,1,1,1807
1461,0.364348,0.712174,0.346539,1,1,1461
1969,0.2825,0.537917,0.186571,0,1,1969
2402,0.343478,0.68,0.125248,0,1,2402
1446,0.407273,0.876364,0.289686,1,1,1446
1851,0.266667,0.535,0.216425,1,1,1851
2134,0.335,0.449583,0.307833,1,1,2134
1685,0.198333,0.318333,0.225754,1,1,1685
1944,0.261667,0.610417,0.203346,1,1,1944
2077,0.384167,0.789167,0.251871,0,1,2077
605,0.376522,0.948261,0.343287,0,1,605
1872,0.261739,0.551304,0.341352,1,1,1872
2133,0.2925,0.420833,0.12065,1,1,2133
1891,0.295833,0.775417,0.22015,1,1,1891
623,0.389091,0,0.261877,1,1,623
1977,0.316522,0.649565,0.23297,1,1,1977
2132,0.329167,0.594583,0.220775,0,1,2132
2417,0.384348,0.527391,0.270604,0,1,2417
2046,0.325217,0.496957,0.136926,1,1,2046
2056,0.317391,0.655652,0.184309,1,1,2056
2192,0.365217,0.776522,0.203117,1,1,2192
2744,0.415,0.602917,0.209579,1,1,2744
3239,0.54,0.525217,0.231017,1,1,3239
3117,0.4725,0.379167,0.368167,0,1,3117
2471,0.3325,0.47375,0.207721,0,1,2471
2077,0.430435,0.737391,0.288783,1,2,2077
2703,0.441667,0.624583,0.22575,1,2,2703
2121,0.346957,0.839565,0.234261,1,2,2121
1865,0.285,0.805833,0.243787,1,2,1865
2210,0.264167,0.495,0.230725,1,2,2210
2496,0.265833,0.394167,0.209571,0,2,2496
1693,0.253043,0.493913,0.1843,0,2,1693
2028,0.264348,0.302174,0.212204,1,2,2028
2425,0.3025,0.314167,0.226996,1,2,2425
1536,0.3,0.646667,0.17288799999999999,1,2,1536
1685,0.268333,0.918333,0.217646,1,2,1685
2227,0.3,0.68625,0.258708,1,2,2227
2252,0.315,0.65375,0.197146,0,2,2252
3249,0.378333,0.48,0.18221300000000001,0,2,3249
3115,0.573333,0.42625,0.385571,1,2,3115
1795,0.414167,0.642083,0.388067,1,2,1795
2808,0.390833,0.470833,0.263063,1,2,2808
3141,0.4375,0.602917,0.162312,1,2,3141
1471,0.335833,0.83625,0.226992,1,2,1471
2455,0.3425,0.8775,0.133083,0,2,2455
2895,0.426667,0.8575,0.146767,0,2,2895
3348,0.595652,0.716956,0.324474,1,2,3348
2034,0.5025,0.739167,0.274879,1,2,2034
2162,0.4125,0.819167,0.250617,1,2,2162
3267,0.4675,0.540417,0.1107,1,2,3267
3126,0.446667,0.67125,0.226375,0,2,3126
795,0.430833,0.888333,0.340808,0,2,795
3744,0.456667,0.479583,0.303496,0,2,3744
3429,0.5125,0.5425,0.163567,1,2,3429
3204,0.505833,0.665833,0.157971,1,2,3204
3944,0.595,0.614167,0.241925,1,2,3944
4189,0.459167,0.407083,0.325258,1,2,4189
1683,0.336667,0.729583,0.219521,1,2,1683
4036,0.46,0.887917,0.230725,0,2,4036
4191,0.581667,0.810833,0.192175,0,2,4191
4073,0.606667,0.776667,0.185333,1,2,4073
4400,0.631667,0.729167,0.3265,1,2,4400
3872,0.62,0.835417,0.3122,1,2,3872
4058,0.6175,0.700833,0.320908,1,2,4058
4595,0.51,0.457083,0.240063,1,2,4595
5312,0.4725,0.503333,0.235075,0,2,5312
3351,0.451667,0.762083,0.106354,0,2,3351
4401,0.549167,0.73,0.183454,1,2,4401
4451,0.616667,0.697083,0.342667,1,2,4451
2633,0.414167,0.737083,0.328996,1,2,2633
4433,0.459167,0.444167,0.295392,1,2,4433
4608,0.479167,0.59,0.228246,1,2,4608
4714,0.52,0.54125,0.16045,0,2,4714
4333,0.528333,0.631667,0.0746375,0,2,4333
4362,0.5325,0.58875,0.176,1,2,4362
4803,0.5325,0.489167,0.115671,1,2,4803
4182,0.5425,0.632917,0.120642,1,2,4182
4864,0.535,0.7475,0.189667,1,2,4864
4105,0.5125,0.863333,0.179725,1,2,4105
3409,0.520833,0.9225,0.13495,0,2,3409
4553,0.5625,0.867083,0.152979,0,2,4553
3958,0.5775,0.787917,0.126871,1,2,3958
4123,0.561667,0.837917,0.277354,1,2,4123
3855,0.55,0.87,0.201492,1,2,3855
4575,0.530833,0.829583,0.108213,1,2,4575
4917,0.536667,0.719583,0.125013,1,2,4917
5805,0.6025,0.626667,0.12065,0,2,5805
4660,0.604167,0.749583,0.148008,0,2,4660
4274,0.631667,0.81,0.233842,1,2,4274
4492,0.66,0.740833,0.207092,1,2,4492
4978,0.660833,0.69625,0.154233,1,2,4978
4677,0.708333,0.6775,0.19964199999999999,1,2,4677
4679,0.681667,0.65375,0.240679,1,2,4679
4758,0.655833,0.729583,0.230092,0,2,4758
4788,0.6675,0.81875,0.213938,0,2,4788
4098,0.733333,0.685,0.131225,0,2,4098
3982,0.775,0.636667,0.111329,1,2,3982
3974,0.764167,0.677083,0.207092,1,2,3974
4968,0.715,0.305,0.292287,1,2,4968
5312,0.62,0.354167,0.253121,1,2,5312
5342,0.635,0.45625,0.123142,0,2,5342
4906,0.648333,0.6525,0.138692,0,2,4906
4548,0.678333,0.6,0.121896,1,2,4548
4833,0.7075,0.597917,0.187808,1,2,4833
4401,0.775833,0.622083,0.136817,1,2,4401
3915,0.808333,0.568333,0.149883,1,2,3915
4586,0.755,0.605,0.140554,1,2,4586
4966,0.725,0.654583,0.15485,0,2,4966
4460,0.6925,0.747917,0.163567,0,2,4460
5020,0.635,0.494583,0.30535,1,2,5020
4891,0.604167,0.507083,0.269283,1,2,4891
5180,0.626667,0.471667,0.167912,1,2,5180
3767,0.628333,0.688333,0.206471,1,2,3767
4844,0.649167,0.735833,0.143029,1,2,4844
5119,0.696667,0.670417,0.119408,0,2,5119
4744,0.699167,0.666667,0.102,0,2,4744
4010,0.635,0.74625,0.155475,1,2,4010
4835,0.680833,0.770417,0.171025,1,3,4835
4507,0.733333,0.7075,0.172262,1,3,4507
4790,0.728333,0.703333,0.238804,1,3,4790
4991,0.724167,0.573333,0.222025,1,3,4991
5202,0.695,0.483333,0.209571,0,3,5202
5305,0.68,0.513333,0.0945333,0,3,5305
4708,0.6825,0.658333,0.107588,1,3,4708
4648,0.744167,0.634167,0.144283,1,3,4648
5225,0.728333,0.497917,0.261821,1,3,5225
5515,0.696667,0.434167,0.185312,1,3,5515
5362,0.7225,0.39625,0.102608,1,3,5362
5119,0.738333,0.444583,0.115062,0,3,5119
4649,0.716667,0.6825,0.228858,0,3,4649
6043,0.726667,0.637917,0.0814792,0,3,6043
4665,0.746667,0.590417,0.126258,1,3,4665
4629,0.72,0.743333,0.149883,1,3,4629
4592,0.75,0.65125,0.1592,1,3,4592
4040,0.709167,0.757917,0.225129,1,3,4040
5336,0.733333,0.609167,0.167912,0,3,5336
4881,0.7475,0.578333,0.183471,0,3,4881
4086,0.7625,0.635833,0.282337,1,3,4086
4258,0.794167,0.559167,0.200254,1,3,4258
4342,0.746667,0.631667,0.146133,1,3,4342
5084,0.680833,0.47625,0.240667,1,3,5084
5538,0.663333,0.59125,0.182833,1,3,5538
5923,0.686667,0.585,0.208342,0,3,5923
5302,0.719167,0.604167,0.245033,0,3,5302
4458,0.746667,0.65125,0.215804,1,3,4458
4541,0.776667,0.650417,0.1306,1,3,4541
4332,0.768333,0.707083,0.113817,1,3,4332
3784,0.815,0.69125,0.222021,1,3,3784
3387,0.848333,0.580417,0.1331,1,3,3387
3285,0.849167,0.5,0.131221,0,3,3285
3606,0.83,0.550833,0.169171,0,3,3606
3840,0.743333,0.757083,0.0908083,1,3,3840
4590,0.771667,0.540833,0.200258,1,3,4590
4656,0.775,0.402917,0.183463,1,3,4656
4390,0.779167,0.583333,0.178479,1,3,4390
3846,0.838333,0.5425,0.174138,1,3,3846
4475,0.804167,0.465833,0.168537,0,3,4475
4302,0.805833,0.480833,0.164813,0,3,4302
4266,0.771667,0.550833,0.156717,1,3,4266
4845,0.783333,0.49125,0.20585,1,3,4845
3574,0.731667,0.6575,0.135583,1,3,3574
4576,0.71,0.7575,0.19715,1,3,4576
4866,0.710833,0.630833,0.184696,1,3,4866
4294,0.716667,0.755,0.22825,0,3,4294
3785,0.7425,0.752917,0.201487,0,3,3785
4326,0.765,0.592083,0.192175,1,3,4326
4602,0.775,0.570417,0.151121,1,3,4602
4780,0.766667,0.424167,0.200258,1,3,4780
4792,0.7175,0.42375,0.164796,1,3,4792
4905,0.708333,0.415,0.125621,1,3,4905
4150,0.685833,0.729583,0.211454,0,3,4150
3820,0.676667,0.8175,0.222633,0,3,3820
4338,0.665833,0.712083,0.208954,1,3,4338
4725,0.700833,0.578333,0.236329,1,3,4725
