"Group","SleepHours"
"Group1",8.8
"Group1",10.7
"Group1",11.7
"Group1",7.4
"Group1",10.9
"Group1",11
"Group1",9.6
"Group1",9.6
"Group1",9.6
"Group1",9.2
"Group1",9.7
"Group1",9.1
"Group1",9.3
"Group1",10.4
"Group1",11.5
"Group1",10.2
"Group1",9.7
"Group1",9.2
"Group1",9.3
"Group1",13.4
"Group1",10.5
"Group1",9.7
"Group1",9.8
"Group1",10.9
"Group1",9.4
"Group1",8.5
"Group1",11
"Group1",9
"Group1",10.3
"Group1",9.1
"Group1",11.7
"Group1",9.7
"Group1",9.4
"Group1",9.7
"Group1",8.3
"Group1",8.9
"Group1",7.6
"Group1",8.6
"Group1",10
"Group1",9.7
"Group2",7.4
"Group2",10.6
"Group2",7.7
"Group2",10
"Group2",10.5
"Group2",10.6
"Group2",10.1
"Group2",8.6
"Group2",9.3
"Group2",10.4
"Group2",10.5
"Group2",6.8
"Group2",7.1
"Group2",10.7
"Group2",7.5
"Group2",7.2
"Group2",10.1
"Group2",9.5
"Group2",9.1
"Group2",9.7
"Group2",7.6
"Group2",9.1
"Group2",9.5
"Group2",10
"Group2",9.1
"Group2",9.3
"Group2",9.2
"Group2",10.3
"Group2",10.3
"Group2",4.4
"Group2",9.3
"Group2",9.2
"Group2",10.3
"Group2",9.7
"Group2",10
"Group2",8.8
"Group2",9.9
"Group2",9.3
"Group2",10.1
"Group2",9.2
"Group2",7
"Group2",8.1
"Group2",10
"Group2",5.6
"Group2",7.8
"Group2",8.2
"Group2",8.7
"Group2",9
"Group2",9.4
"Group2",8.5
"Group2",8.7
"Group2",9.8
"Group2",9.3
"Group2",10.4
"Group2",7.3
"Group2",8.8
"Group2",8.1
"Group2",9.5
"Group2",8.3
"Group2",9.5
